龔濤,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,龔濤,キョウトウ,キョウトウ,1/4,*,き]ヨうとう
齋花,1345,1345,10000,名詞,一般,*,*,*,*,齋花,サイハナ,サイハナ,2/4,*,さ[い]はな
鼽衄,1345,1345,10000,名詞,一般,*,*,*,*,鼽衄,キュウジク,キュウジク,0/4,*,き[ユうじく
鼓腹,1345,1345,10000,名詞,一般,*,*,*,*,鼓腹,コフク,コフク,1/3,*,こ]ふく
鼓石,1345,1345,10000,名詞,一般,*,*,*,*,鼓石,コセキ,コセキ,0/3,*,こ[せき
鼓棍,1345,1345,10000,名詞,一般,*,*,*,*,鼓棍,ココン,ココン,0/3,*,こ[こん
鼓声,1345,1345,10000,名詞,一般,*,*,*,*,鼓声,コセイ,コセイ,1/3,*,こ]せい
鼎町,1353,1353,10000,名詞,固有名詞,地域,一般,*,*,鼎町,カナエマチ,カナエマチ,0/5,*,か[なえまち
鼎沸,1345,1345,10000,名詞,一般,*,*,*,*,鼎沸,カナエニエ,カナエニエ,3/5,*,か[なえ]にえ
鼎中,1345,1345,10000,名詞,一般,*,*,*,*,鼎中,カナエチュウ,カナエチュウ,0/5,*,か[なえちユう
黴黴,1345,1345,10000,名詞,一般,*,*,*,*,黴黴,カビカビ,カビカビ,0/4,*,か[びかび
黴雨,1345,1345,10000,名詞,一般,*,*,*,*,黴雨,カビウ,カビウ,0/3,*,か[びう
黴説,1345,1345,10000,名詞,一般,*,*,*,*,黴説,カビセツ,カビセツ,0/4,*,か[びせつ
黴発,1345,1345,10000,名詞,一般,*,*,*,*,黴発,カビハツ,カビハツ,2/4,*,か[び]はつ
黴瘡,1345,1345,10000,名詞,一般,*,*,*,*,黴瘡,カビソウ,カビソウ,0/4,*,か[びそう
黴病,1345,1345,10000,名詞,一般,*,*,*,*,黴病,カビビョウ,カビビョウ,2/4,*,か[びび]ヨう
黴状,1345,1345,10000,名詞,一般,*,*,*,*,黴状,カビジョウ,カビジョウ,2/4,*,か[びじ]ヨう
黔首,1345,1345,10000,名詞,一般,*,*,*,*,黔首,ケンクビ,ケンクビ,2/4,*,け[ん]くび
黒黍,1345,1345,10000,名詞,一般,*,*,*,*,黒黍,クロキビ,クロキビ,2/4,*,く[ろ]きび
黒鷺,1345,1345,10000,名詞,一般,*,*,*,*,黒鷺,クロサギ,クロサギ,2/4,*,く[ろ]さぎ
黒鴇,1345,1345,10000,名詞,一般,*,*,*,*,黒鴇,クロトキ,クロトキ,2/4,*,く[ろ]とき
黒鯱,1345,1345,10000,名詞,一般,*,*,*,*,黒鯱,クロシャチ,クロシャチ,0/4,*,く[ろしヤち
黒鯖,1345,1345,10000,名詞,一般,*,*,*,*,黒鯖,クロサバ,クロサバ,2/4,*,く[ろ]さば
黒魔,1345,1345,10000,名詞,一般,*,*,*,*,黒魔,クロマ,クロマ,0/3,*,く[ろま
黒髭,1345,1345,10000,名詞,一般,*,*,*,*,黒髭,クロヒゲ,クロヒゲ,0/4,*,く[ろひげ
黒饅,1345,1345,10000,名詞,一般,*,*,*,*,黒饅,クロマン,クロマン,2/4,*,く[ろ]まん
黒飯,1345,1345,10000,名詞,一般,*,*,*,*,黒飯,クロメシ,クロメシ,0/4,*,く[ろめし
黒頭,1345,1345,10000,名詞,一般,*,*,*,*,黒頭,クロガシラ,クロガシラ,3/5,*,く[ろが]しら
黒雲,1345,1345,10000,名詞,一般,*,*,*,*,黒雲,コクウン,コクウン,0/4,*,こ[くうん
黒隈,1345,1345,10000,名詞,一般,*,*,*,*,黒隈,クロクマ,クロクマ,0/4,*,く[ろくま
黒鍬,1345,1345,10000,名詞,一般,*,*,*,*,黒鍬,クロクワ,クロクワ,0/4,*,く[ろくわ
黒録,1345,1345,10000,名詞,一般,*,*,*,*,黒録,クロロク,クロロク,2/4,*,く[ろ]ろく
黒錆,1345,1345,10000,名詞,一般,*,*,*,*,黒錆,クロサビ,クロサビ,0/4,*,く[ろさび
黒銀,1345,1345,10000,名詞,一般,*,*,*,*,黒銀,クロギン,クロギン,2/4,*,く[ろ]ぎん
黒鉱,1345,1345,10000,名詞,一般,*,*,*,*,黒鉱,クロコウ,クロコウ,0/4,*,く[ろこう
黒野,1350,1350,10000,名詞,固有名詞,人名,姓,*,*,黒野,クロノ,クロノ,1/3,*,く]ろの
黒酒,1345,1345,10000,名詞,一般,*,*,*,*,黒酒,クロキ,クロキ,0/3,*,く[ろき
黒輩,1345,1345,10000,名詞,一般,*,*,*,*,黒輩,クロバラ,クロバラ,2/4,*,く[ろ]ばら
黒軸,1345,1345,10000,名詞,一般,*,*,*,*,黒軸,クロジク,クロジク,0/4,*,く[ろじく
黒裏,1345,1345,10000,名詞,一般,*,*,*,*,黒裏,クロウラ,クロウラ,2/4,*,く[ろ]うら
黒袍,1345,1345,10000,名詞,一般,*,*,*,*,黒袍,クロホウ,クロホウ,2/4,*,く[ろ]ほう
黒表,1345,1345,10000,名詞,一般,*,*,*,*,黒表,コクヒョウ,コクヒョウ,0/4,*,こ[くひヨう
黒衣,1345,1345,10000,名詞,一般,*,*,*,*,黒衣,コクエ,コクエ,1/3,*,こ]くえ
黒血,1345,1345,10000,名詞,一般,*,*,*,*,黒血,クロチ,クロチ,0/3,*,く[ろち
黒蔓,1345,1345,10000,名詞,一般,*,*,*,*,黒蔓,クロヅル,クロヅル,2/4,*,く[ろ]づる
黒蓮,1345,1345,10000,名詞,一般,*,*,*,*,黒蓮,コクレン,コクレン,0/4,*,こ[くれん
黒茸,1345,1345,10000,名詞,一般,*,*,*,*,黒茸,クロタケ,クロタケ,0/4,*,く[ろたけ
黒苺,1345,1345,10000,名詞,一般,*,*,*,*,黒苺,クロイチゴ,クロイチゴ,3/5,*,く[ろい]ちご
黒花,1345,1345,10000,名詞,一般,*,*,*,*,黒花,クロハナ,クロハナ,2/4,*,く[ろ]はな
黒膳,1345,1345,10000,名詞,一般,*,*,*,*,黒膳,クロゼン,クロゼン,0/4,*,く[ろぜん
黒胆,1345,1345,10000,名詞,一般,*,*,*,*,黒胆,コクタン,コクタン,0/4,*,こ[くたん
黒肝,1345,1345,10000,名詞,一般,*,*,*,*,黒肝,クロキモ,クロキモ,2/4,*,く[ろ]きも
黒羽,1350,1350,10000,名詞,固有名詞,人名,姓,*,*,黒羽,クロハ,クロハ,1/3,*,く]ろは
黒美,1345,1345,10000,名詞,一般,*,*,*,*,黒美,クロビ,クロビ,0/3,*,く[ろび
黒缶,1345,1345,10000,名詞,一般,*,*,*,*,黒缶,クロカン,クロカン,0/4,*,く[ろかん
黒縞,1345,1345,10000,名詞,一般,*,*,*,*,黒縞,クロシマ,クロシマ,0/4,*,く[ろしま
黒縅,1345,1345,10000,名詞,一般,*,*,*,*,黒縅,クロオドシ,クロオドシ,3/5,*,く[ろお]どし
黒緑,1345,1345,10000,名詞,一般,*,*,*,*,黒緑,コクリョク,コクリョク,0/4,*,こ[くりヨく
黒組,1345,1345,10000,名詞,一般,*,*,*,*,黒組,クログミ,クログミ,0/4,*,く[ろぐみ
黒紗,1345,1345,10000,名詞,一般,*,*,*,*,黒紗,クロシャ,クロシャ,2/3,*,く[ろ]しヤ
黒紐,1345,1345,10000,名詞,一般,*,*,*,*,黒紐,クロヒモ,クロヒモ,0/4,*,く[ろひも
黒糸,1345,1345,10000,名詞,一般,*,*,*,*,黒糸,クロイト,クロイト,0/4,*,く[ろいと
黒箱,1345,1345,10000,名詞,一般,*,*,*,*,黒箱,クロバコ,クロバコ,0/4,*,く[ろばこ
黒穗,1351,1351,10000,名詞,固有名詞,人名,名,*,*,黒穗,グロミノル,グロミノル,3/5,*,ぐ[ろみ]のる
黒祠,1345,1345,10000,名詞,一般,*,*,*,*,黒祠,コクシ,コクシ,1/3,*,こ]くし
黒盆,1345,1345,10000,名詞,一般,*,*,*,*,黒盆,クロボン,クロボン,2/4,*,く[ろ]ぼん
黒男,1345,1345,10000,名詞,一般,*,*,*,*,黒男,グロオトコ,グロオトコ,0/5,*,ぐ[ろおとこ
黒生,1345,1345,10000,名詞,一般,*,*,*,*,黒生,クロセイ,クロセイ,2/4,*,く[ろ]せい
黒甕,1345,1345,10000,名詞,一般,*,*,*,*,黒甕,クロカメ,クロカメ,0/4,*,く[ろかめ
黒瓶,1345,1345,10000,名詞,一般,*,*,*,*,黒瓶,クロビン,クロビン,2/4,*,く[ろ]びん
黒王,1348,1348,10000,名詞,固有名詞,一般,*,*,*,黒王,コクオウ,コクオウ,2/4,*,こ[く]おう
黒狼,1345,1345,10000,名詞,一般,*,*,*,*,黒狼,クロオオカミ,クロオオカミ,4/6,*,く[ろおお]かみ
黒爆,1345,1345,10000,名詞,一般,*,*,*,*,黒爆,クロバク,クロバク,0/4,*,く[ろばく
黒燕,1345,1345,10000,名詞,一般,*,*,*,*,黒燕,クロツバメ,クロツバメ,3/5,*,く[ろつ]ばめ
黒熱,1345,1345,10000,名詞,一般,*,*,*,*,黒熱,クロネツ,クロネツ,2/4,*,く[ろ]ねつ
黒煙,1345,1345,10000,名詞,一般,*,*,*,*,黒煙,クロケブリ,クロケブリ,0/5,*,く[ろけぶり
黒湯,1345,1345,10000,名詞,一般,*,*,*,*,黒湯,クロユ,クロユ,0/3,*,く[ろゆ
黒渕,1353,1353,10000,名詞,固有名詞,地域,一般,*,*,黒渕,クロブチ,クロブチ,0/4,*,く[ろぶち
黒液,1345,1345,10000,名詞,一般,*,*,*,*,黒液,クロエキ,クロエキ,0/4,*,く[ろえき
黒津,1345,1345,10000,名詞,一般,*,*,*,*,黒津,クロツ,クロツ,0/3,*,く[ろつ
黒油,1345,1345,10000,名詞,一般,*,*,*,*,黒油,クロアブラ,クロアブラ,0/5,*,く[ろあぶら
黒江,1350,1350,10000,名詞,固有名詞,人名,姓,*,*,黒江,クロエ,クロエ,0/3,*,く[ろえ
黒楯,1345,1345,10000,名詞,一般,*,*,*,*,黒楯,クロタテ,クロタテ,0/4,*,く[ろたて
黒業,1345,1345,10000,名詞,一般,*,*,*,*,黒業,クロギョウ,クロギョウ,2/4,*,く[ろぎ]ヨう
黒椀,1345,1345,10000,名詞,一般,*,*,*,*,黒椀,クロワン,クロワン,2/4,*,く[ろ]わん
黒棒,1345,1345,10000,名詞,一般,*,*,*,*,黒棒,クロボウ,クロボウ,0/4,*,く[ろぼう
黒柿,1345,1345,10000,名詞,一般,*,*,*,*,黒柿,クロカキ,クロカキ,0/4,*,く[ろかき
黒柴,1345,1345,10000,名詞,一般,*,*,*,*,黒柴,クロシバ,クロシバ,2/4,*,く[ろ]しば
黒柱,1345,1345,10000,名詞,一般,*,*,*,*,黒柱,クロハシラ,クロハシラ,3/5,*,く[ろは]しら
黒杭,1345,1345,10000,名詞,一般,*,*,*,*,黒杭,クロクイ,クロクイ,2/4,*,く[ろ]くい
黒本,1345,1345,10000,名詞,一般,*,*,*,*,黒本,クロホン,クロホン,0/4,*,く[ろほん
黒木,1353,1353,10000,名詞,固有名詞,地域,一般,*,*,黒木,クロギ,クロギ,1/3,*,く]ろぎ
黒旗,1345,1345,10000,名詞,一般,*,*,*,*,黒旗,コッキ,コッキ,1/3,*,こ]っき
黒故,1345,1345,10000,名詞,一般,*,*,*,*,黒故,クロユエ,クロユエ,2/4,*,く[ろ]ゆえ
黒戸,1345,1345,10000,名詞,一般,*,*,*,*,黒戸,クロト,クロト,0/3,*,く[ろと
黒御,1345,1345,10000,名詞,一般,*,*,*,*,黒御,クロゴ,クロゴ,0/3,*,く[ろご
黒式,1345,1345,10000,名詞,一般,*,*,*,*,黒式,クロシキ,クロシキ,2/4,*,く[ろ]しき
黒幇,1345,1345,10000,名詞,一般,*,*,*,*,黒幇,コクホウ,コクホウ,0/4,*,こ[くほう
黒巾,1345,1345,10000,名詞,一般,*,*,*,*,黒巾,クロキン,クロキン,2/4,*,く[ろ]きん
黒巣,1345,1345,10000,名詞,一般,*,*,*,*,黒巣,クロス,クロス,1/3,*,く]ろす
黒媛,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,黒媛,クロヒメ,クロヒメ,2/4,*,く[ろ]ひめ
黒奴,1345,1345,10000,名詞,一般,*,*,*,*,黒奴,クロメ,クロメ,1/3,*,く]ろめ
黒女,1345,1345,10000,名詞,一般,*,*,*,*,黒女,クロオンナ,クロオンナ,0/5,*,く[ろおんな
黒天,1345,1345,10000,名詞,一般,*,*,*,*,黒天,クロテン,クロテン,0/4,*,く[ろてん
黒壇,1345,1345,10000,名詞,一般,*,*,*,*,黒壇,クロダン,クロダン,2/4,*,く[ろ]だん
黒壁,1345,1345,10000,名詞,一般,*,*,*,*,黒壁,クロヘキ,クロヘキ,2/4,*,く[ろ]へき
黒墨,1345,1345,10000,名詞,一般,*,*,*,*,黒墨,コクボク,コクボク,0/4,*,こ[くぼく
黒塊,1345,1345,10000,名詞,一般,*,*,*,*,黒塊,クロカイ,クロカイ,2/4,*,く[ろ]かい
黒垂,1345,1345,10000,名詞,一般,*,*,*,*,黒垂,クロスイ,クロスイ,2/4,*,く[ろ]すい
黒吉,1345,1345,10000,名詞,一般,*,*,*,*,黒吉,クロキチ,クロキチ,0/4,*,く[ろきち
黒原,1353,1353,10000,名詞,固有名詞,地域,一般,*,*,黒原,クロハラ,クロハラ,0/4,*,く[ろはら
