龍郎,1348,1348,10000,名詞,固有名詞,一般,*,*,*,龍郎,タツオ,タツオ,0/3,*,た[つお
龍輝,1348,1348,10000,名詞,固有名詞,一般,*,*,*,龍輝,タツキ,タツキ,1/3,*,た]つき
龍西,1348,1348,10000,名詞,固有名詞,一般,*,*,*,龍西,タツニシ,タツニシ,2/4,*,た[つ]にし
龍種,1348,1348,10000,名詞,固有名詞,一般,*,*,*,龍種,タツタネ,タツタネ,0/4,*,た[つたね
龍矢,1348,1348,10000,名詞,固有名詞,一般,*,*,*,龍矢,タツヤ,タツヤ,0/3,*,た[つや
龍尾,1348,1348,10000,名詞,固有名詞,一般,*,*,*,龍尾,タツノヲ,タツノオ,2/4,*,た[つ]のを
龍実,1348,1348,10000,名詞,固有名詞,一般,*,*,*,龍実,タツジツ,タツジツ,2/4,*,た[つ]じつ
龍口,1348,1348,10000,名詞,固有名詞,一般,*,*,*,龍口,タツノクチ,タツノクチ,3/5,*,た[つの]くち
龍北,1348,1348,10000,名詞,固有名詞,一般,*,*,*,龍北,タツキタ,タツキタ,2/4,*,た[つ]きた
齰癖,1348,1348,10000,名詞,固有名詞,一般,*,*,*,齰癖,サクヘキ,サクヘキ,0/4,*,さ[くへき
齎藤,1348,1348,10000,名詞,固有名詞,一般,*,*,*,齎藤,サイトウ,サイトー,0/4,*,さ[いとう
齎木,1348,1348,10000,名詞,固有名詞,一般,*,*,*,齎木,サイキ,サイキ,1/3,*,さ]いき
齊木,1348,1348,10000,名詞,固有名詞,一般,*,*,*,齊木,サイキ,サイキ,0/3,*,さ[いき
鼠部,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鼠部,ソブ,ソブ,1/2,*,そ]ぶ
鼓長,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鼓長,コチョウ,コチョー,0/3,*,こ[ちヨう
鼓部,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鼓部,コブ,コブ,1/2,*,こ]ぶ
鼓童,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鼓童,コドウ,コドー,1/3,*,こ]どう
鼓直,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鼓直,ツヅミタダシ,ツズミタダシ,4/6,*,つ[づみた]だし
鼓滝,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鼓滝,ツヅミガタキ,ツズミガタキ,0/6,*,つ[づみがたき
鼓楼,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鼓楼,コロウ,コロー,0/3,*,こ[ろう
鼓星,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鼓星,ツヅミボシ,ツズミボシ,3/5,*,つ[づみ]ぼし
鼎部,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鼎部,テイブ,テーブ,0/3,*,て[いぶ
鼎湖,1348,1348,10000,名詞,固有名詞,一般,*,*,*,鼎湖,テイコ,テーコ,1/3,*,て]いこ
