龐統,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,龐統,ホウトウ,ホウトウ,0/4,*,ほ[うとう,『三國志』蜀志：P.953
龐淯,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,龐淯,ホウイク,ホウイク,2/4,*,ほ[う]いく,『三國志』魏志：P.547
龐悳,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,龐悳,ホウトク,ホウトク,2/4,*,ほ[う]とく,『三國志』魏志：P.545
齊王芳,1349,1349,8000,名詞,固有名詞,人名,一般,*,*,齊王芳,セイオウホウ,セイオウホウ,4/6,*,せ[いおう]ほう,『三國志』魏志：P.117:しない:曹芳
鼂錯,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,鼂錯,チョウソ,チョウソ,0/3,*,ち[ヨ]うそ,『史記』P.2745
黥布,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,黥布,ゲイフ,ゲイフ,1/3,*,げ]いふ,『史記』P.2597
黄襲,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,黄襲,トウシュウ,トウシュウ,2/4,*,と[うし]ユう,『三國志』呉志：P.1290
黄蓋,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,黄蓋,コウガイ,コウガイ,0/4,*,こ[うがい,『三國志』呉志：P.1284
黄歇,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,黄歇,コウアツ,コウアツ,0/4,*,こ[うあつ,『史記』P.2387:しない:春申君
黄權,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,黄權,コウケン,コウケン,2/4,*,こ[う]けん,『三國志』蜀志：P.1043:しない:黄権
黄忠,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,黄忠,コウチュウ,コウチュウ,2/4,*,こ[うち]ユう,『三國志』蜀志：P.948
麋竺,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,麋竺,ビジク,ビジク,1/3,*,び]じく,『三國志』蜀志：P.969
鮑勛,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,鮑勛,ホウクン,ホウクン,0/4,*,ほ[うくん,『三國志』魏志：P.383
魯肅,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,魯肅,ロシュク,ロシュク,1/3,*,ろ[し]ユく,『三國志』呉志：P.1267:しない:魯粛
魯仲連,1349,1349,8000,名詞,固有名詞,人名,一般,*,*,魯仲連,ロチュウレン,ロチュウレン,0/5,*,ろ[ちユうれん,『史記』P.2459
魏豹,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,魏豹,ギヒョウ,ギヒョウ,1/3,*,ぎ[ひ]ヨう,『史記』P.2589
