愛衣,1348,1348,8000,名詞,固有名詞,一般,*,*,*,愛衣,アイ,アイ,1/2,*,あ]い
藍色,1348,1348,8000,名詞,固有名詞,一般,*,*,*,藍色,アイイロ,アイーロ,0/4,*,あ[いいろ
愛花,1348,1348,8000,名詞,固有名詞,一般,*,*,*,愛花,アイカ,アイカ,1/3,*,あ]いか
藍華,1348,1348,8000,名詞,固有名詞,一般,*,*,*,藍華,アイカ,アイカ,0/3,*,あ[いか
相方,1348,1348,8000,名詞,固有名詞,一般,*,*,*,相方,アイカタ,アイカタ,0/4,*,あ[いかた
愛川,1348,1348,8000,名詞,固有名詞,一般,*,*,*,愛川,アイカワ,アイカワ,2/4,*,あ[い]かわ
相川,1348,1348,8000,名詞,固有名詞,一般,*,*,*,相川,アイカワ,アイカワ,2/4,*,あ[い]かわ
愛環,1348,1348,8000,名詞,固有名詞,一般,*,*,*,愛環,アイカン,アイカン,2/4,*,あ[い]かん
愛子,1348,1348,8000,名詞,固有名詞,一般,*,*,*,愛子,アイコ,アイコ,1/3,*,あ]いこ
愛国,1348,1348,8000,名詞,固有名詞,一般,*,*,*,愛国,アイコク,アイコク,0/4,*,あ[いこく
眼魂,1348,1348,8000,名詞,固有名詞,一般,*,*,*,眼魂,アイコン,アイコン,2/4,*,あ[い]こん
逢坂,1348,1348,8000,名詞,固有名詞,一般,*,*,*,逢坂,アイサカ,アイサカ,0/4,*,あ[いさか
挨拶,1348,1348,8000,名詞,固有名詞,一般,*,*,*,挨拶,アイサツ,アイサツ,0/4,*,あ[いさつ
相沢,1348,1348,8000,名詞,固有名詞,一般,*,*,*,相沢,アイザワ,アイザワ,0/4,*,あ[いざわ
哀愁,1348,1348,8000,名詞,固有名詞,一般,*,*,*,哀愁,アイシュウ,アイシュー,0/4,*,あ[いしユう
愛人,1348,1348,8000,名詞,固有名詞,一般,*,*,*,愛人,アイジン,アイジン,0/4,*,あ[いじん
愛知,1348,1348,8000,名詞,固有名詞,一般,*,*,*,愛知,アイチ,アイチ,1/3,*,あ]いち
爱酱,1348,1348,8000,名詞,固有名詞,一般,*,*,*,爱酱,アイチャン,アイチャン,2/4,*,あ[いち]ヤん
会津,1348,1348,8000,名詞,固有名詞,一般,*,*,*,会津,アイヅ,アイズ,1/3,*,あ]いづ
相原,1348,1348,8000,名詞,固有名詞,一般,*,*,*,相原,アイハラ,アイハラ,0/4,*,あ[いはら
相棒,1348,1348,8000,名詞,固有名詞,一般,*,*,*,相棒,アイボウ,アイボー,0/4,*,あ[いぼう
愛増,1348,1348,8000,名詞,固有名詞,一般,*,*,*,愛増,アイマスオアラブプラス,アイマスオアラブプラス,9/11,*,あ[いますおあらぶぷ]らす
愛美,1348,1348,8000,名詞,固有名詞,一般,*,*,*,愛美,アイミ,アイミ,0/3,*,あ[いみ
愛理,1348,1348,8000,名詞,固有名詞,一般,*,*,*,愛理,アイリ,アイリ,1/3,*,あ]いり
愛莉,1348,1348,8000,名詞,固有名詞,一般,*,*,*,愛莉,アイリ,アイリ,1/3,*,あ]いり
愛蘭,1348,1348,8000,名詞,固有名詞,一般,*,*,*,愛蘭,アイルランド,アイルランド,4/6,*,あ[いるら]んど
亜鉛,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜鉛,アエン,アエン,0/3,*,あ[えん
蒼依,1348,1348,8000,名詞,固有名詞,一般,*,*,*,蒼依,アオイ,アオイ,0/3,*,あ[おい
碧山,1348,1348,8000,名詞,固有名詞,一般,*,*,*,碧山,アオイヤマ,アオイヤマ,0/5,*,あ[おいやま
葵連,1348,1348,8000,名詞,固有名詞,一般,*,*,*,葵連,アオイレン,アオイレン,3/5,*,あ[おい]れん
青色,1348,1348,8000,名詞,固有名詞,一般,*,*,*,青色,アオイロ,アオイロ,0/4,*,あ[おいろ
青鬼,1348,1348,8000,名詞,固有名詞,一般,*,*,*,青鬼,アオオニ,アオーニ,0/4,*,あ[おおに
青学,1348,1348,8000,名詞,固有名詞,一般,*,*,*,青学,アオガク,アオガク,0/4,*,あ[おがく
青髪,1348,1348,8000,名詞,固有名詞,一般,*,*,*,青髪,アオガミ,アオガミ,0/4,*,あ[おがみ
青木,1348,1348,8000,名詞,固有名詞,一般,*,*,*,青木,アオキ,アオキ,0/3,*,あ[おき
青毛,1348,1348,8000,名詞,固有名詞,一般,*,*,*,青毛,アオゲ,アオゲ,0/3,*,あ[おげ
蒼紫,1348,1348,8000,名詞,固有名詞,一般,*,*,*,蒼紫,アオシ,アオシ,0/3,*,あ[おし
青汁,1348,1348,8000,名詞,固有名詞,一般,*,*,*,青汁,アオジル,アオジル,0/4,*,あ[おじる
青酢,1348,1348,8000,名詞,固有名詞,一般,*,*,*,青酢,アオズ,アオズ,0/3,*,あ[おず
青空,1348,1348,8000,名詞,固有名詞,一般,*,*,*,青空,アオゾラ,アオゾラ,0/4,*,あ[おぞら
青田,1348,1348,8000,名詞,固有名詞,一般,*,*,*,青田,アオタ,アオタ,0/3,*,あ[おた
蒼都,1348,1348,8000,名詞,固有名詞,一般,*,*,*,蒼都,アオト,アオト,0/3,*,あ[おと
青野,1348,1348,8000,名詞,固有名詞,一般,*,*,*,青野,アオノ,アオノ,1/3,*,あ]おの
青葉,1348,1348,8000,名詞,固有名詞,一般,*,*,*,青葉,アオバ,アオバ,1/3,*,あ]おば
青森,1348,1348,8000,名詞,固有名詞,一般,*,*,*,青森,アオモリ,アオモリ,2/4,*,あ[お]もり
青柳,1348,1348,8000,名詞,固有名詞,一般,*,*,*,青柳,アオヤギ,アオヤギ,0/4,*,あ[おやぎ
青山,1348,1348,8000,名詞,固有名詞,一般,*,*,*,青山,アオヤマ,アオヤマ,2/4,*,あ[お]やま
