Ｓｈｏｇｏ,1351,1351,8000,名詞,固有名詞,人名,名,*,*,Ｓｈｏｇｏ,ショウゴ,ショウゴ,0/3,*,し[ヨ]うご
ＣＩＲＳＴ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＩＲＳＴ,シーアイアールエスティー,シーアイアールエスティー,9/11,*,し[ーあいあーるえすてイ]ー
ＣＩＥＳ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＩＥＳ,シーアイイーエス,シーアイイーエス,6/8,*,し[ーあいいー]えす
ＣＩＳＩ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＩＳＩ,シーアイエスアイ,シーアイエスアイ,6/8,*,し[ーあいえす]あい
ＣＩＳＦ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＩＳＦ,シーアイエスエフ,シーアイエスエフ,6/8,*,し[ーあいえす]えふ
ＣＩＳＬ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＩＳＬ,シーアイエスエル,シーアイエスエル,6/8,*,し[ーあいえす]える
ＣＩＮＮ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＩＮＮ,シーアイエヌエヌ,シーアイエヌエヌ,0/8,*,し[ーあいえぬえぬ
ＣＩＮＤＹ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＩＮＤＹ,シーアイエヌディーワイ,シーアイエヌディーワイ,9/10,*,し[ーあいえぬでイーわ]い
ＣＩＭＥ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＩＭＥ,シーアイエムイー,シーアイエムイー,0/8,*,し[ーあいえむいー
ＣＩＭＳ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＩＭＳ,シーアイエムエス,シーアイエムエス,0/8,*,し[ーあいえむえす
ＣＩＯＳ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＩＯＳ,シーアイオーエス,シーアイオーエス,0/8,*,し[ーあいおーえす
ＣＩＱ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＩＱ,シーアイキュー,シーアイキュー,4/6,*,し[ーあいきユ]ー
ＣＩＣＲ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＩＣＲ,シーアイシーアール,シーアイシーアール,0/9,*,し[ーあいしーあーる
ＣＩＴＳ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＩＴＳ,シーアイティーエス,シーアイティーエス,7/8,*,し[ーあいてイーえ]す
ＣＩＤＲ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＩＤＲ,シーアイディーアール,シーアイディーアール,7/9,*,し[ーあいでイーあ]ーる
ＣＩＶＩＳ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＩＶＩＳ,シーアイブイアイエス,シーアイブイアイエス,8/10,*,し[ーあいぶいあい]えす
ＣＲＥＡＭ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＲＥＡＭ,シーアールイーエーエム,シーアールイーエーエム,0/11,*,し[ーあーるいーえーえむ
ＣＲＥＤ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＲＥＤ,シーアールイーディー,シーアールイーディー,7/9,*,し[ーあーるいーでイ]ー
ＣＲＥＤＩＴＳ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＲＥＤＩＴＳ,シーアールイーディーアイティーエス,シーアールイーディーアイティーエス,14/15,*,し[ーあーるいーでイーあいてイーえ]す
ＣＲＳＳ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＲＳＳ,シーアールエスエス,シーアールエスエス,7/9,*,し[ーあーるえす]えす
ＣＲＮ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＲＮ,シーアールエヌ,シーアールエヌ,5/7,*,し[ーあーる]えぬ
ＣＲＡＳＡＲ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＲＡＳＡＲ,シーアールエーエスエーアール,シーアールエーエスエーアール,12/14,*,し[ーあーるえーえすえーあ]ーる
ＣＲＡＹＳ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＲＡＹＳ,シーアールエーワイエス,シーアールエーワイエス,0/11,*,し[ーあーるえーわいえす
ＣＲＯＯＮ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＲＯＯＮ,シーアールオーオーエヌ,シーアールオーオーエヌ,0/11,*,し[ーあーるおーおーえぬ
ＣＲＯＷ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＲＯＷ,シーアールオーダブリュー,シーアールオーダブリュー,0/11,*,し[ーあーるおーだぶりユー
ＣＲＵＳＴ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＲＵＳＴ,シーアールユーエスティー,シーアールユーエスティー,9/11,*,し[ーあーるゆーえすてイ]ー
ＣＲＵＮＫＹ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＲＵＮＫＹ,シーアールユーエヌケーワイ,シーアールユーエヌケーワイ,0/13,*,し[ーあーるゆーえぬけーわい
ＣＲＵＺ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＲＵＺ,シーアールユーゼット,シーアールユーゼット,7/10,*,し[ーあーるゆーぜ]っと
ＣＲＹＳ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＲＹＳ,シーアールワイエス,シーアールワイエス,0/9,*,し[ーあーるわいえす
ＣＩＮＣ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＩＮＣ,シーインク,シーインク,3/5,*,し[ーい]んく
ＣＥＲＡ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＥＲＡ,シーイーアールエー,シーイーアールエー,7/9,*,し[ーいーあーる]えー
ＣＥＲＯ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＥＲＯ,シーイーアールオー,シーイーアールオー,7/9,*,し[ーいーあーる]おー
ＣＥＲＯＣ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＥＲＯＣ,シーイーアールオーシー,シーイーアールオーシー,0/11,*,し[ーいーあーるおーしー
ＣＥＲＣＬＡ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＥＲＣＬＡ,シーイーアールシーエルエー,シーイーアールシーエルエー,0/13,*,し[ーいーあーるしーえるえー
ＣＥＳＡＲ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＥＳＡＲ,シーイーエスエーアール,シーイーエスエーアール,9/11,*,し[ーいーえすえーあ]ーる
ＣＥＳＶＩ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＥＳＶＩ,シーイーエスブイアイ,シーイーエスブイアイ,0/10,*,し[ーいーえすぶいあい
ＣＥＮＴＯＳ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＥＮＴＯＳ,シーイーエヌティーオーエス,シーイーエヌティーオーエス,10/12,*,し[ーいーえぬてイーおー]えす
ＣＥＭ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＥＭ,シーイーエム,シーイーエム,0/6,*,し[ーいーえむ
ＣＥＬ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＥＬ,シーイーエル,シーイーエル,0/6,*,し[ーいーえる
ＣＥＬＬ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＥＬＬ,シーイーエルエル,シーイーエルエル,0/8,*,し[ーいーえるえる
ＣＥＯＳ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＥＯＳ,シーイーオーエス,シーイーオーエス,0/8,*,し[ーいーおーえす
ＣＥＴＩ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＥＴＩ,シーイーティーアイ,シーイーティーアイ,7/8,*,し[ーいーてイーあ]い
ＣＥＤＡ,1345,1345,8000,名詞,一般,*,*,*,*,ＣＥＤＡ,シーイーディーエー,シーイーディーエー,7/8,*,し[ーいーでイーえ]ー
