ヘルム,1345,1345,,名詞,一般,*,*,*,*,ヘルム,ヘルム,ヘルム,1/3,*,へ]るむ,*
メイル,1345,1345,,名詞,一般,*,*,*,*,メイル,メイル,メイル,1/3,*,め]いる,*
アーム,1345,1345,,名詞,一般,*,*,*,*,アーム,アーム,アーム,1/3,*,あ]ーむ,*
コイル,1345,1345,,名詞,一般,*,*,*,*,コイル,コイル,コイル,1/3,*,こ]いる,*
ブーツ,1345,1345,,名詞,一般,*,*,*,*,ブーツ,ブーツ,ブーツ,1/3,*,ぶ]ーつ,*
アーク,1345,1345,,名詞,一般,*,*,*,*,アーク,アーク,アーク,1/3,*,あ]ーく,*
フィリア,1345,1345,,名詞,一般,*,*,*,*,フィリア,フィリア,フィリア,1/3,*,ふ]イりあ,*
アイルーフェイク,1345,1345,,名詞,一般,*,*,*,*,アイルーフェイク,アイルーフェイク,アイルーフェイク,4/7,*,あ[いるーふエ]いく,*
暁丸,1345,1345,,名詞,一般,*,*,*,*,暁丸,アカツキマル,アカツキマル,0/6,*,あ[かつきまる,*
凛,1345,1345,,名詞,一般,*,*,*,*,凛,リン,リン,1/2,*,り]ん,*
アカムト,1345,1345,,名詞,一般,*,*,*,*,アカムト,アカムト,アカムト,2/4,*,あ[か]むと,*
アグナ,1345,1345,,名詞,一般,*,*,*,*,アグナ,アグナ,アグナ,1/3,*,あ]ぐな,*
アクラ,1345,1345,,名詞,一般,*,*,*,*,アクラ,アクラ,アクラ,1/3,*,あ]くら,*
アケノ,1345,1345,,名詞,一般,*,*,*,*,アケノ,アケノ,アケノ,0/3,*,あ[けの,*
アシラ,1345,1345,,名詞,一般,*,*,*,*,アシラ,アシラ,アシラ,1/3,*,あ]しら,*
アストラ,1345,1345,,名詞,一般,*,*,*,*,アストラ,アストラ,アストラ,0/4,*,あ[すとら,*
アスリスタ,1345,1345,,名詞,一般,*,*,*,*,アスリスタ,アスリスタ,アスリスタ,3/5,*,あ[すり]すた,*
アスール,1345,1345,,名詞,一般,*,*,*,*,アスール,アスール,アスール,0/4,*,あ[すーる,*
アノル,1345,1345,,名詞,一般,*,*,*,*,アノル,アノル,アノル,1/3,*,あ]のる,*
アメザリ,1345,1345,,名詞,一般,*,*,*,*,アメザリ,アメザリ,アメザリ,0/4,*,あ[めざり,*
アルテミス,1345,1345,,名詞,一般,*,*,*,*,アルテミス,アルテミス,アルテミス,3/5,*,あ[るて]みす,*
